,Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y,Distance X,Distance Y,Distance Z
163,Home,RECOVERY,INTERCEPTION,1,12033,481.32,12033,481.32,Player1,,0.04,0.62,,,,,
164,Home,BALL OUT,HEAD-CLEARANCE,1,12033,481.32,12047,481.88,Player1,,0.04,0.62,-0.05,0.71,0.09,0.08999999999999997,0.12727922061357852
165,Away,SET PIECE,CORNER KICK,1,12636,505.44,12636,505.44,Player21,,,,,,,,
166,Away,BALL OUT,,1,12636,505.44,12702,508.08,Player21,,0.01,0.95,-0.03,0.34,0.04,0.6099999999999999,0.6113100686231169
167,Home,RECOVERY,,1,13543,541.72,13543,541.72,Player11,,0.04,0.44,,,,,
168,Home,PASS,GOAL KICK,1,13543,541.72,13625,545.0,Player11,Player5,0.04,0.44,0.5,0.86,0.46,0.42,0.6228964600958975
169,Home,PASS,,1,13625,545.0,13641,545.64,Player5,Player1,0.5,0.86,0.42,0.84,0.08000000000000002,0.020000000000000018,0.08246211251235323
170,Home,BALL LOST,INTERCEPTION,1,13672,546.88,13701,548.04,Player1,,0.41,0.85,0.63,0.86,0.22000000000000003,0.010000000000000009,0.22022715545545243
171,Away,RECOVERY,INTERCEPTION,1,13701,548.04,13701,548.04,Player17,,0.57,0.86,,,,,
172,Away,BALL LOST,,1,13701,548.04,13736,549.44,Player17,,0.57,0.86,0.48,0.82,0.08999999999999997,0.040000000000000036,0.09848857801796103
173,Home,RECOVERY,,1,13739,549.56,13739,549.56,Player6,,0.48,0.79,,,,,
174,Home,BALL LOST,INTERCEPTION,1,13739,549.56,13766,550.64,Player6,,0.48,0.79,0.68,0.53,0.20000000000000007,0.26,0.32802438933713457
175,Away,RECOVERY,INTERCEPTION,1,13766,550.64,13766,550.64,Player15,,0.64,0.55,,,,,
176,Away,BALL LOST,,1,13766,550.64,13814,552.56,Player15,,0.64,0.55,0.76,0.52,0.12,0.030000000000000027,0.12369316876852982
